device_type,scheme,avg_time,avg_cpu,avg_ram,samples,max_key_size,verdict,reason
UNIQUE,P-384,0.017338299999999997,31.831666666666667,0.018094794446431934,60,9.3e-05,Viable,Dentro de umbrales esperados
UNIQUE,RSA,0.0166766,34.134,0.018121762514974653,60,0.00043000000000000004,Viable,Dentro de umbrales esperados
UNIQUE,X25519,0.016101166666666666,33.08883333333333,0.017602184750652818,60,3.1e-05,Viable,Dentro de umbrales esperados
UNIQUE,X448,0.09206306666666667,34.519999999999996,0.018115673630748994,60,5.3e-05,Viable,Dentro de umbrales esperados
UNIQUE,secp256k1,0.017113316666666666,36.26733333333333,0.018103411587083475,60,6.2e-05,Viable,Dentro de umbrales esperados
UNIQUE,sntrup761,0.015795266666666665,38.90716666666666,0.01772590076509253,60,0.001104,Viable,Dentro de umbrales esperados
WS,BIKE-L1,0.016271169444444445,23.889444444444447,0.07611828613281249,360,0.0014700000000000002,Viable,Dentro de umbrales esperados
WS,ClassicMcEliece,0.01993729166666667,28.181805555555556,0.07602998860677083,360,0.249023,Viable,Dentro de umbrales esperados
WS,Diffie-Hellman,0.03360791111111111,32.10219444444445,0.07563163248697917,360,0.002352,Viable,Dentro de umbrales esperados
WS,Diffie-Hellman-8192,0.6673892083333333,32.560361111111106,0.07606355794270833,360,0.002352,No viable,Tiempo 0.667s > 0.15s
WS,FrodoKEM,0.051543852777777774,14.561305555555554,0.07612400987413194,360,0.009171,Viable,Dentro de umbrales esperados
WS,HQC-192,0.024550966666666667,28.951055555555552,0.076019775390625,360,0.004313,Viable,Dentro de umbrales esperados
WS,Hybrid-Kyber-X25519,0.09099848055555555,24.790972222222223,0.07602728949652778,360,0.00108,Viable,Dentro de umbrales esperados
WS,Kyber,0.016079230555555553,22.851166666666668,0.07641197374131944,360,0.000763,Viable,Dentro de umbrales esperados
WS,P-256,0.01657062222222222,22.756416666666667,0.075999267578125,360,6.2e-05,Viable,Dentro de umbrales esperados
WS,P-384,0.017670894444444443,27.114555555555555,0.07619315592447917,360,9.3e-05,Viable,Dentro de umbrales esperados
WS,RSA,0.01657792777777778,25.00413888888889,0.07590218098958333,360,0.00043000000000000004,Viable,Dentro de umbrales esperados
WS,X25519,0.016730894444444443,24.873694444444446,0.07604866536458334,360,3.1e-05,Viable,Dentro de umbrales esperados
WS,X448,0.09145118611111111,23.99436111111111,0.07600526258680557,360,5.3e-05,Viable,Dentro de umbrales esperados
WS,secp256k1,0.0177657,26.726527777777775,0.07598460557725695,360,6.2e-05,Viable,Dentro de umbrales esperados
WS,sntrup761,0.01637600277777778,24.65238888888889,0.07591936577690972,360,0.001104,Viable,Dentro de umbrales esperados
